Frame; Unity_timestamps; trial; condition; target_x; target_y; target_z; epoch; error ; Eyes_timestamps; px_eye_right; py_eye_right; px_eye_left; py_eye_left; DiameterRight; DiameterLeft; ArduX; ArduY
161;5439;1;0;0;0;5;2;0;68105.426482;143.645;153.922;125.5173;88.59843;49.07574;16.97;0;0
162;5444;1;0;0;0;5;2;0;68105.430663;143.5781;153.9093;125.5173;88.59843;48.96255;16.97;0;0
163;5450;1;0;0;0;5;2;0;68105.43616;143.5781;153.9093;125.4328;88.556;48.96255;16.97711;0;0
164;5455;1;0;0;0;5;2;0;68105.441995;143.527;153.7961;125.4328;88.556;49.39026;16.97711;0;0
165;5461;1;0;0;0;5;2;0;68105.44585;143.527;153.7961;125.7156;88.55318;49.39026;16.90111;0;0
166;5466;1;0;0;0;5;2;0;68105.454795;143.5877;153.8992;125.4079;88.42301;48.91073;16.93332;0;0
167;5472;1;0;0;0;5;2;0;68105.454795;143.5877;153.8992;125.4079;88.42301;48.91073;16.93332;0;0
168;5477;1;0;0;0;5;2;0;68105.464043;143.5989;153.8983;125.6344;88.50747;49.07511;16.89605;0;0
169;5482;1;0;0;0;5;2;0;68105.464043;143.5989;153.8983;125.6344;88.50747;49.07511;16.89605;0;0
170;5487;1;0;0;0;5;2;0;68105.472124;143.5563;153.837;125.4066;88.53945;49.31495;16.97024;0;0
171;5494;1;0;0;0;5;2;0;68105.483129;143.5967;153.9945;125.6596;88.55761;48.40601;16.91486;0;0
172;5522;1;0;0;0;5;2;0;68105.511381;143.6121;153.9607;125.8965;88.61654;48.73561;16.87509;0;0
173;5527;1;0;0;0;5;2;0;68105.515773;143.6121;153.9607;126.0749;88.61169;48.73561;16.84213;0;0
174;5533;1;0;0;0;5;2;0;68105.520567;143.5878;153.9528;126.0749;88.61169;48.39566;16.84213;0;0
175;5537;1;0;0;0;5;2;0;68105.524647;143.5878;153.9528;125.7417;88.49665;48.39566;16.86711;0;0
176;5543;1;0;0;0;5;2;0;68105.530623;143.6237;153.9057;125.7417;88.49665;49.16301;16.86711;0;0
177;5548;1;0;0;0;5;2;0;68105.533441;143.6237;153.9057;125.4231;88.46185;49.16301;16.91426;0;0
178;5554;1;0;0;0;5;2;0;68105.540726;143.5155;153.8127;125.2975;88.48025;49.59058;16.96722;0;0
179;5559;1;0;0;0;5;2;0;68105.540726;143.5155;153.8127;125.2975;88.48025;49.59058;16.96722;0;0
180;5565;1;0;0;0;5;2;0;68105.55125;143.6172;153.9131;125.5281;88.61206;48.97723;16.96313;0;0
181;5571;1;0;0;0;5;2;0;68105.558566;143.6172;153.9131;125.5161;88.59218;48.97723;16.96272;0;0
182;5575;1;0;0;0;5;2;0;68105.560528;143.595;153.8796;125.5161;88.59218;49.39272;16.96272;0;0
183;5581;1;0;0;0;5;2;0;68105.568108;143.595;153.8796;125.4532;88.58875;49.39272;16.97904;0;0
184;5586;1;0;0;0;5;2;0;68105.569934;143.6273;153.9232;125.4532;88.58875;49.10265;16.97904;0;0
185;5592;1;0;0;0;5;2;0;68105.579917;143.5808;153.8639;125.7097;88.53796;49.03524;16.90163;0;0
